rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.46204620462046203,0.0,0.6764168190127969,0.0,0.19647526741027832,0.0,0.010971546173095703,0.0,0.05,1e-10,"{'model__C': 0.05, 'model__tol': 1e-10}",0.46204620462046203,0.6764168190127969
1,0.46204620462046203,0.0,0.6764168190127969,0.0,0.20644593238830566,0.0,0.006981849670410156,0.0,0.05,1e-07,"{'model__C': 0.05, 'model__tol': 1e-07}",0.46204620462046203,0.6764168190127969
1,0.46204620462046203,0.0,0.6764168190127969,0.0,0.2064526081085205,0.0,0.008971929550170898,0.0,0.05,1e-05,"{'model__C': 0.05, 'model__tol': 1e-05}",0.46204620462046203,0.6764168190127969
1,0.46204620462046203,0.0,0.6764168190127969,0.0,0.1954786777496338,0.0,0.015956401824951172,0.0,0.05,0.0001,"{'model__C': 0.05, 'model__tol': 0.0001}",0.46204620462046203,0.6764168190127969
1,0.46204620462046203,0.0,0.6764168190127969,0.0,0.195479154586792,0.0,0.012965202331542969,0.0,0.05,0.001,"{'model__C': 0.05, 'model__tol': 0.001}",0.46204620462046203,0.6764168190127969
6,0.45150501672240795,0.0,0.6857318573185732,0.0,0.22439813613891602,0.0,0.00897836685180664,0.0,0.1,1e-10,"{'model__C': 0.1, 'model__tol': 1e-10}",0.45150501672240795,0.6857318573185732
6,0.45150501672240795,0.0,0.6857318573185732,0.0,0.23038697242736816,0.0,0.007974863052368164,0.0,0.1,1e-07,"{'model__C': 0.1, 'model__tol': 1e-07}",0.45150501672240795,0.6857318573185732
6,0.45150501672240795,0.0,0.6857318573185732,0.0,0.30817508697509766,0.0,0.0109710693359375,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.45150501672240795,0.6857318573185732
6,0.45150501672240795,0.0,0.6857318573185732,0.0,0.2872312068939209,0.0,0.007976770401000977,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.45150501672240795,0.6857318573185732
6,0.45150501672240795,0.0,0.6857318573185732,0.0,0.22739124298095703,0.0,0.006978511810302734,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.45150501672240795,0.6857318573185732
11,0.4498269896193772,0.0,0.7291011942174732,0.0,1.0626776218414307,0.0,0.004987478256225586,0.0,10,1e-10,"{'model__C': 10, 'model__tol': 1e-10}",0.4498269896193772,0.7291011942174732
11,0.4498269896193772,0.0,0.7291011942174732,0.0,1.0128116607666016,0.0,0.0059854984283447266,0.0,10,1e-07,"{'model__C': 10, 'model__tol': 1e-07}",0.4498269896193772,0.7291011942174732
11,0.4498269896193772,0.0,0.7291011942174732,0.0,1.0347511768341064,0.0,0.004987001419067383,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.4498269896193772,0.7291011942174732
11,0.4498269896193772,0.0,0.7291011942174732,0.0,0.8691976070404053,0.0,0.004003763198852539,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.4498269896193772,0.7291011942174732
11,0.4498269896193772,0.0,0.7291011942174732,0.0,0.8681962490081787,0.0,0.003992557525634766,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.4498269896193772,0.7291011942174732
16,0.44368600682593856,0.0,0.7241813602015114,0.0,0.5295841693878174,0.0,0.008976459503173828,0.0,1,1e-10,"{'model__C': 1, 'model__tol': 1e-10}",0.44368600682593856,0.7241813602015114
16,0.44368600682593856,0.0,0.7241813602015114,0.0,0.5684792995452881,0.0,0.011968612670898438,0.0,1,1e-07,"{'model__C': 1, 'model__tol': 1e-07}",0.44368600682593856,0.7241813602015114
16,0.44368600682593856,0.0,0.7241813602015114,0.0,0.5216174125671387,0.0,0.007966279983520508,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.44368600682593856,0.7241813602015114
16,0.44368600682593856,0.0,0.7241813602015114,0.0,0.6428003311157227,0.0,0.007980585098266602,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.44368600682593856,0.7241813602015114
16,0.44368600682593856,0.0,0.7241813602015114,0.0,0.5375621318817139,0.0,0.006983041763305664,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.44368600682593856,0.7241813602015114
21,0.438871473354232,0.0,0.6561757719714965,0.0,0.12566447257995605,0.0,0.005983829498291016,0.0,0.025,1e-10,"{'model__C': 0.025, 'model__tol': 1e-10}",0.438871473354232,0.6561757719714965
21,0.438871473354232,0.0,0.6561757719714965,0.0,0.167555570602417,0.0,0.0059850215911865234,0.0,0.025,1e-07,"{'model__C': 0.025, 'model__tol': 1e-07}",0.438871473354232,0.6561757719714965
21,0.438871473354232,0.0,0.6561757719714965,0.0,0.14760375022888184,0.0,0.013963937759399414,0.0,0.025,1e-05,"{'model__C': 0.025, 'model__tol': 1e-05}",0.438871473354232,0.6561757719714965
21,0.438871473354232,0.0,0.6561757719714965,0.0,0.1376323699951172,0.0,0.0059833526611328125,0.0,0.025,0.0001,"{'model__C': 0.025, 'model__tol': 0.0001}",0.438871473354232,0.6561757719714965
21,0.438871473354232,0.0,0.6561757719714965,0.0,0.1326444149017334,0.0,0.008975744247436523,0.0,0.025,0.001,"{'model__C': 0.025, 'model__tol': 0.001}",0.438871473354232,0.6561757719714965
26,0.4242424242424242,0.0,0.6391632771644392,0.0,0.13364195823669434,0.0,0.005983591079711914,0.0,0.015,1e-10,"{'model__C': 0.015, 'model__tol': 1e-10}",0.4242424242424242,0.6391632771644392
26,0.4242424242424242,0.0,0.6391632771644392,0.0,0.11269760131835938,0.0,0.03490614891052246,0.0,0.015,1e-07,"{'model__C': 0.015, 'model__tol': 1e-07}",0.4242424242424242,0.6391632771644392
26,0.4242424242424242,0.0,0.6391632771644392,0.0,0.11269950866699219,0.0,0.006982326507568359,0.0,0.015,1e-05,"{'model__C': 0.015, 'model__tol': 1e-05}",0.4242424242424242,0.6391632771644392
26,0.4242424242424242,0.0,0.6391632771644392,0.0,0.0887608528137207,0.0,0.005984783172607422,0.0,0.015,0.0001,"{'model__C': 0.015, 'model__tol': 0.0001}",0.4242424242424242,0.6391632771644392
26,0.4242424242424242,0.0,0.6391632771644392,0.0,0.08676910400390625,0.0,0.006981372833251953,0.0,0.015,0.001,"{'model__C': 0.015, 'model__tol': 0.001}",0.4242424242424242,0.6391632771644392
31,0.2404809619238477,0.0,0.5009149130832572,0.0,0.06482672691345215,0.0,0.00598454475402832,0.0,0.001,1e-10,"{'model__C': 0.001, 'model__tol': 1e-10}",0.2404809619238477,0.5009149130832572
31,0.2404809619238477,0.0,0.5009149130832572,0.0,0.06482625007629395,0.0,0.00797891616821289,0.0,0.001,1e-07,"{'model__C': 0.001, 'model__tol': 1e-07}",0.2404809619238477,0.5009149130832572
31,0.2404809619238477,0.0,0.5009149130832572,0.0,0.06582808494567871,0.0,0.0059814453125,0.0,0.001,1e-05,"{'model__C': 0.001, 'model__tol': 1e-05}",0.2404809619238477,0.5009149130832572
31,0.2404809619238477,0.0,0.5009149130832572,0.0,0.08078622817993164,0.0,0.0069806575775146484,0.0,0.001,0.0001,"{'model__C': 0.001, 'model__tol': 0.0001}",0.2404809619238477,0.5009149130832572
31,0.2404809619238477,0.0,0.5009149130832572,0.0,0.06183600425720215,0.0,0.005983591079711914,0.0,0.001,0.001,"{'model__C': 0.001, 'model__tol': 0.001}",0.2404809619238477,0.5009149130832572
